"Tree"	"Family"	"Genus"	"Species"	"Htrunc"	"Htot"	"DBH"	"Db"	"Dm"	"Dh"	"Wleaves"	"Wbranches"	"Wtrunc"	"AGB"	"Site"	"Worker"
"Eug2"	"Myrtaceae"	"Eugenia"	"Eugenia bernieri"	16.4	28.2	31.3	"NA"	24.3	19.1	139.75	181.25	711.5	1032.5	"Bealanana"	"Hasina"
"Eug3"	"Myrtaceae"	"Eugenia"	"Eugenia emirnense"	19.9	25.8	30.4	"NA"	23.6	19	16.25	81.75	875.9	973.9	"Bealanana"	"Hasina"
"Eug6"	"Myrtaceae"	"Eugenia"	"Eugenia emirnense"	9.2	13.6	15.7	"NA"	13.1	11.3	35.5	26.25	125.5	187.25	"Bealanana"	"Hasina"
"Eug7"	"Myrtaceae"	"Eugenia"	"Eugenia bernieri"	6.32	11.34	15	"NA"	10.9	7.8	20.9	16.75	69.25	106.9	"Bealanana"	"Hasina"
"EUG1"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	5.8	7.5	7.64331210191083	"NA"	"NA"	"NA"	5.75	5.5	20.5	31.75	"Fandriana"	"Samuelson"
"EUG2"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	9	12.6	9.55414012738853	"NA"	"NA"	"NA"	7	5	44	56	"Fandriana"	"Samuelson"
"EUG3"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	3.5	8	7.64331210191083	"NA"	"NA"	"NA"	3.75	14	21.5	39.25	"Fandriana"	"Samuelson"
"EUG4"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	11	16	19.1082802547771	"NA"	"NA"	"NA"	46.5	104.5	203.5	354.5	"Fandriana"	"Samuelson"
"EUG5"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	9	12	19.1082802547771	"NA"	"NA"	"NA"	19.25	51.5	209.5	280.25	"Fandriana"	"Samuelson"
"EUG6"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	6.8	11	17.515923566879	"NA"	"NA"	"NA"	53.5	74.5	161.25	289.25	"Fandriana"	"Samuelson"
"EUG7"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	17.5	22	30.2547770700637	"NA"	"NA"	"NA"	32	190.5	865.5	1088	"Fandriana"	"Samuelson"
"EUG8"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	7	11	28.9808917197452	"NA"	"NA"	"NA"	105.5	216.5	462.5	784.5	"Fandriana"	"Samuelson"
"EUG9"	"Myrtaceae"	"Eugenia"	"Eugenia sp."	10.6	14.2	28.6624203821656	"NA"	"NA"	"NA"	61.5	218.5	636.5	916.5	"Fandriana"	"Samuelson"
"B1"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia tiricali"	1.07	2.5	4.99746521308551	6.11154981472878	5.41126806512444	5.57042300821634	"NA"	16.5	2.34	18.84	"Fort-Dauphin-Dry"	"Sarobidy"
"B2"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia stenoclada"	1.45	2.83	4.45633840657307	5.72957795130823	5.09295817894065	5.41126806512444	"NA"	6	2.56	8.56	"Fort-Dauphin-Dry"	"Sarobidy"
"B3"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia laro"	1.23	3.35	4.13802852038928	5.34760608788768	5.57042300821634	7.0028174960434	"NA"	15.5	3.11	18.61	"Fort-Dauphin-Dry"	"Sarobidy"
"B4"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia tiricali"	3.06	4.2	7.09831046189853	8.59436692696235	6.93915551880664	5.15662015617741	"NA"	16.5	9.7	26.2	"Fort-Dauphin-Dry"	"Sarobidy"
"B5"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia stenoclada"	2.26	3.2	7.06647947328015	7.57577529117422	7.03464848466177	6.49352167814933	"NA"	25.75	8.26	34.01	"Fort-Dauphin-Dry"	"Sarobidy"
"B6"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia laro"	1.42	3.35	6.36619772367581	9.13549373347479	6.93915551880664	7.67126825702936	"NA"	20.5	5.95	26.45	"Fort-Dauphin-Dry"	"Sarobidy"
"B7"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia tiricali"	4	5.3	11.1408460164327	10.8543671188673	10.5042262440651	5.72957795130823	"NA"	48.75	29.25	78	"Fort-Dauphin-Dry"	"Sarobidy"
"B8"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia stenoclada"	4.34	6.47	14.8014097075463	16.1701422181366	14.0056349920868	12.4140855611678	"NA"	71	58.75	129.75	"Fort-Dauphin-Dry"	"Sarobidy"
"B9"	"Euphorbiaceae"	"Euphorbia"	"Euphorbia laro"	2.1	5.2	12.4140855611678	14.4830998213625	12.7323954473516	10.5042262440651	"NA"	96.25	30	126.25	"Fort-Dauphin-Dry"	"Sarobidy"
"Fic1"	"Moraceae"	"Ficus"	"Ficus sp1"	8	10	7	"NA"	"NA"	"NA"	11.5	17	38	66.5	"Ivohibe"	"Zafyson"
"Fic2"	"Moraceae"	"Ficus"	"Ficus sp1"	8.5	11	7.5	"NA"	"NA"	"NA"	14	16.5	45	75.5	"Ivohibe"	"Zafyson"
"Fic4"	"Moraceae"	"Ficus"	"Ficus soroceoïdes"	7.5	12.5	16.5	"NA"	"NA"	"NA"	5	37	119	161	"Ivohibe"	"Zafyson"
"Fic5"	"Moraceae"	"Ficus"	"Ficus soroceoïdes"	6.8	11	16	"NA"	"NA"	"NA"	14	40	152	206	"Ivohibe"	"Zafyson"
"Fic6"	"Moraceae"	"Ficus"	"Ficus soroceoïdes"	10	13.5	17.5	"NA"	"NA"	"NA"	12	45	208	265	"Ivohibe"	"Zafyson"
"Fic7"	"Moraceae"	"Ficus"	"Ficus tiliifolia"	10.5	16.5	35	"NA"	"NA"	"NA"	54	174	382	610	"Ivohibe"	"Zafyson"
"Fic8"	"Moraceae"	"Ficus"	"Ficus soroceoïdes"	9.5	21.5	32	"NA"	"NA"	"NA"	106	404.5	495	1005.5	"Ivohibe"	"Zafyson"
"Fic9"	"Moraceae"	"Ficus"	"Ficus sp2"	10	18.5	35	"NA"	"NA"	"NA"	143	342	582	1067	"Ivohibe"	"Zafyson"
"G1"	"Malvaceae"	"Grewia"	"Grewia sp."	2.25	4.8	4.20169049762604	5.25211312203255	4.45633840657307	3.66056369111359	"NA"	3.74	3.2	6.94	"Fort-Dauphin-Dry"	"Sarobidy"
"G2"	"Malvaceae"	"Grewia"	"Grewia sp."	2.3	4.1	3.5014087480217	4.39267642933631	3.56507072525846	3.21492985045629	"NA"	2.94	2.51	5.45	"Fort-Dauphin-Dry"	"Sarobidy"
"G3"	"Malvaceae"	"Grewia"	"Grewia sp."	2.24	4.66	3.81971863420549	4.45633840657307	3.81971863420549	3.5014087480217	"NA"	3.29	2.46	5.75	"Fort-Dauphin-Dry"	"Sarobidy"
"G4"	"Malvaceae"	"Grewia"	"Grewia sp."	2.05	5.25	4.96563422446713	6.36619772367581	5.09295817894065	4.96563422446713	"NA"	7.33	4.43	11.76	"Fort-Dauphin-Dry"	"Sarobidy"
"G5"	"Malvaceae"	"Grewia"	"Grewia sp."	2.14	4.8	4.39267642933631	6.04788783749202	4.90197224723038	3.91521160006063	"NA"	3.72	3.81	7.53	"Fort-Dauphin-Dry"	"Sarobidy"
"G6"	"Malvaceae"	"Grewia"	"Grewia sp."	2.5	5.5	4.55183137242821	5.15662015617741	4.61549334966497	4.23352148624442	"NA"	6.08	3.59	9.67	"Fort-Dauphin-Dry"	"Sarobidy"
