Tree	Locality	Latin_Binomial	Family	Trunk_diameter_cm	Total_height_m	Dry_weight_branch_kg	Dry_weight_trunk_kg	Dry_weight_leaf_kg	Dry_total_AGB_kg	Wood_specific_gravity	Forest_type
88	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	10.1859163578813	5.6	3.78489649166983	7.93241779691282	NA	11.7173142885827	0.305435567624011	dry
89	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	13.8464800489949	7	10.5542547126167	14.3607072319211	NA	24.9149619445378	0.294865992871466	dry
90	Fort-Dauphin-Dry	Gyrocarpus americanus	Hernandiaceae	15.0560576164933	7.7	14.8331970492565	18.6975338389719	NA	33.5307308882284	0.271478860801172	dry
91	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	7.0028174960434	3.77	0.402378831147835	1.88195932484768	NA	2.28433815599552	0.17970972646253	dry
92	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	10.1859163578813	5.16	0.380411049461445	5.27737872085241	NA	5.65778977031385	0.190493423733922	dry
93	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	10.663381187157	3.21	0.646163254370917	4.87670380657296	NA	5.52286706094387	0.215675079871072	dry
94	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	14.0374659807052	5.27	1.12047435197025	12.3252178716727	NA	13.445692223643	0.234870467593552	dry
95	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	16.1701422181366	6.25	1.55165846858736	22.2948822065448	NA	23.8465406751321	0.28558581429212	dry
96	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	19.0985931710274	5.43	2.36984005610249	22.0733673796975	NA	24.4432074358	0.247712718452733	dry
97	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	24.7963401337173	4.43	2.41723990813773	27.7982589435839	NA	30.2154988517217	0.219443539864313	dry
98	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	26.4197205532546	7.26	5.86321947787126	46.5467832018759	NA	52.4100026797472	0.213714780358091	dry
99	Fort-Dauphin-Dry	Opercularia decaryii	Rubiaceae	27.4064812004244	6.1	2.8414014059211	39.4244445071552	NA	42.2658459130763	0.210536542453053	dry
100	Fort-Dauphin-Dry	Pachypodium lameri	Apocynaceae	9.07183175623804	3.4	0.0572235290852319	1.17069803253537	NA	1.2279215616206	0.101562367816092	dry
101	Fort-Dauphin-Dry	Pachypodium lameri	Apocynaceae	10.9816910733408	3.7	0.13448198488951	1.18660574902509	NA	1.3210877339146	0.107150435183657	dry
102	Fort-Dauphin-Dry	Pachypodium lameri	Apocynaceae	10.9816910733408	4	0.18920225174451	2.0749180274648	NA	2.26412027920931	0.118201393802734	dry
103	Fort-Dauphin-Dry	Pachypodium lameri	Apocynaceae	12.5732405042597	5	0.720979066389642	5.74457514187876	NA	6.4655542082684	0.0880832313296903	dry
104	Fort-Dauphin-Dry	Pachypodium lameri	Apocynaceae	17.5070437401085	5.15	0.191701365286167	3.31996777869899	NA	3.51166914398515	0.101217457711443	dry
105	Fort-Dauphin-Dry	Pachypodium lameri	Apocynaceae	31.8309886183791	4.9	2.11244454839781	15.2724031539571	NA	17.3848477023549	0.104135203890133	dry
