Tree	Locality	Latin_Binomial	Family	Trunk_diameter_cm	Total_height_m	Dry_weight_branch_kg	Dry_weight_trunk_kg	Dry_weight_leaf_kg	Dry_total_AGB_kg	Wood_specific_gravity	Forest_type
16	Bealanana	Anthocleista madagascariensis	Loganiaceae	42.2	17.84	1517.72194411543	419.138797299629	201.975133625496	2138.83587504055	0.785327295666605	moist-wet
17	Bealanana	Anthocleista madagascariensis	Loganiaceae	44	18.06	1479.16198957012	268.650877985887	277.669193677993	2025.482061234	0.764383498296154	moist-wet
18	Bealanana	Aphloia theaeformis	Flacourtiaceae	15.5	10.98	8.52449636355373	55.7475000283197	1.62371359305785	65.8957099849313	0.627370691671794	moist-wet
19	Bealanana	Aphloia theaeformis	Flacourtiaceae	21	13.87	6.91922051629954	49.9567721276826	8.85660226086341	65.7325949048456	0.662813466498313	moist-wet
20	Bealanana	Aphloia theaeformis	Flacourtiaceae	22	10.2	14.2245615567909	40.5038362973029	9.04103488779083	63.7694327418846	0.568026954927399	moist-wet
21	Bealanana	Aphloia theaeformis	Flacourtiaceae	26	12.7	122.509967861469	51.4490925322593	20.503227469539	194.462287863267	0.584665206408251	moist-wet
22	Bealanana	Aphloia theaeformis	Flacourtiaceae	29.8	12.9	197.058804566107	101.984149908686	36.8967046417605	335.939659116554	0.638228111469528	moist-wet
23	Bealanana	Aphloia theaeformis	Flacourtiaceae	34.7	17.54	193.897362312501	226.683177868643	27.4068926914631	447.987432872607	0.610834687958128	moist-wet
24	Bealanana	Bathiorhamnus sp.	Rhamnaceae	13.3	12.88	11.7256766882855	50.2932638678271	25.5704515732492	87.5893921293618	0.571072366316025	moist-wet
25	Fort-Dauphin-Moist	Brochoneura madagascariensis	Myristicaceae	11	16	9.24265252167091	37.5867869214617	6.16176834778061	52.9912077909132	0.478009785946027	moist-wet
26	Fort-Dauphin-Moist	Brochoneura madagascariensis	Myristicaceae	14	19	16.0129940200549	93.869275289977	8.2825831138215	118.164852423853	0.45118256690171	moist-wet
